priority	domain	severity	finding	suggested_action	owner	status	blocks_20_50_if	source_file	resolution_note
P0	general	fatal	## 2. Top 5 fatal or near-fatal biological / single-cell concerns	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	GSE154778 PDAC, pooled expression mode | CAF/Fibroblast (raw score)	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	GSE154778 PDAC, lesion-stratified | Myeloid (both Primary and Metastatic)	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	GSE154778 PDAC, expression-mode permutation | Myeloid (lower raw score, smaller p)	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	"The flagship dataset (GSE154778, the only one used for ""claim gating"") contradicts itself between modes. CAF wins on raw score; Myeloid wins on p-value; the manuscript correctly declines to promote either. Across datasets, the ""top source"" alternates between CAF, Myeloid, and Endothelial with no biological pattern that the method *itself* explains. The claim gates correctly downgrade these to ""computational rankings"", but a Nature Methods biology referee will ask the obvious question: **if the method's primary output cannot be interpreted biologically on any of the five datasets the manuscript provides, what is the biological reader supposed to do with the method?"	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	"The honest answer the manuscript gives — *""this pattern supports the method-level claim that computational sheaf-energy rankings are dataset-dependent""* (line 116) — is a methodological observation dressed as a biological one. It does not constitute a positive demonstration. There is no analogous ""we confirmed this prediction by orthogonal experiment / public protein data / patient outcome"" anywhere in the bundle."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	methods	major	Required action:** Add at least one positive biological demonstration. Candidates: (a) take a published PDAC perturbation study (e.g., a CAF or macrophage depletion) and show SheafSignal predicts the affected interactions; (b) cross-reference Myeloid-as-frustration-source against published PDAC immune-axis literature with explicit hypotheses tested; (c) drop a cell type (e.g., remove macrophages from the input) and show the method recovers loss of the relevant signal in a non-trivial way.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	`ROUND2_HARDENING_STATUS_2026-05-02.md` reports the GSE154778 reannotation as `scanpy_full_v1` with 14,926 cells, 16 samples, ~7 cell-type categories. The bundle provides no:	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	Comparison against the **author-published annotations** of Lin et al. (the original GSE154778 paper), even though those exist.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	statistics	comment	Per-cell-type marker confidence panels.	Map concern to permutation/FDR/bootstrap/sensitivity outputs and rerun if needed.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	"For coarse types like ""Myeloid"" and ""CAF/Fibroblast"", this matters in cancer biology because the *subtype* is the biology:"	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	"Myeloid in PDAC includes monocytes, macrophages (M1, M2, TAM-1, TAM-2 polarization), DCs, neutrophils, MDSCs. ""Myeloid frustration"" averaged across these is a low-resolution claim."	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	"The manuscript's claim gating correctly stops biological interpretation at this resolution, but a single-cell referee will ask: **why was the analysis run at this resolution at all?** The biology of CCC in PDAC happens between iCAF and TAM2 at minimum, not between ""CAF"" and ""Myeloid""."	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	single_cell	major	Required action:** Run at least one dataset (GSE154778) at finer cell-state resolution (≥ 12–15 subtypes), with annotation cross-checked against an independent reference (Azimuth or the original publication). Show whether SheafSignal's frustration ranking changes meaningfully under finer annotation. If the ranking is unstable across annotation depth, that is itself a finding the manuscript must report.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	general	major	The smallest absolute cell counts of the major tumor compartments.	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	single_cell	major	"Required action:** Report per-cell-type cell counts and per-cell-type expressed-LR-pair counts for every dataset. Re-run with cell-count-balanced subsampling (e.g., downsample each cell type to min(N_celltype) and re-rank). If ""Endothelial top"" survives this, it merits further investigation; if it doesn't, the manuscript should explicitly state the artifact."	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	For a 20–50 IF venue, the spatial section either earns its space by:	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	"…or it does not belong in the manuscript at all. The current ""Visium = workflow demonstration"" framing is honest but uninformative for a methods journal that values demonstration over claim discipline."	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	general	major	"Required action:** Either drop the Visium section to the supplement and reframe as a ""future-work software extension demonstration"", or add deconvolution + at least one orthogonal validation. The middle ground (current state) reads as filler."	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	journal_fit	major	"This is a major omission. **The pathway gradient is half of the residual definition.** If the pathway sets differ between datasets, the cross-dataset ""top frustration source"" comparison is comparing different residual definitions across datasets. A reviewer will demand sensitivity analysis with at least 3 standard sources (Hallmark, KEGG, Reactome)."	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	general	major	Required action:** Document the exact pathway gene set used per dataset, justify the choice, and provide a sensitivity analysis showing how rankings change with alternative gene-set sources.	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	## 3. Is the GSE154778 Myeloid claim appropriately bounded?	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	Sets Myeloid claim gate to `supplement_only` / `supplement_context`.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	"States Myeloid is ""a lesion-stratified computational hypothesis, not a validated biological source or mechanism""."	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	Notes that pooled expression-mode top-source is CAF/Fibroblast, not Myeloid (`frustration_score=0.4306`, BH-FDR=0.0157 vs Myeloid `frustration_score=0.1845`, BH-FDR=0.0002).	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	"A specific testable biological hypothesis (""Myeloid TAMs in metastatic PDAC drive frustrated TGFB→TGFBR signaling on CAFs"", or similar)."	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	claims	comment	A mechanism the SheafSignal output uniquely points to that an existing tool would not.	Run claim-safety audit and downgrade unsupported causal/mechanistic wording.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	A reason a follow-up wet-lab experiment should target Myeloid rather than CAF.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	The result is a cell type that is `supplement_only`, plus a method that produced the supplement, plus no biological prediction. From the reader's perspective, the GSE154778 example exists primarily to demonstrate the claim-gating workflow, not the biological inference. This is fine for a reproducibility paper but thin for a methods-journal biological case study.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	Suggestion:** Either drop GSE154778 to a supplementary case-study and replace the main-text biological example with a dataset where SheafSignal does generate a positive testable prediction; or strengthen GSE154778 by integrating it with bulk PDAC TCGA / clinical outcomes (e.g., does Myeloid frustration correlate with response to anti-PD-1 in published cohorts?).	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	claims	comment	## 4. Sparse cell types, Visium spot labels, and mechanism language	Run claim-safety audit and downgrade unsupported causal/mechanistic wording.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	general	major	"Handled correctly via claim gates in `qc_gse154778_claim_gating.py` and `READMEFile.md` (lines 743–800 of `README.md`). The note that ""low-count cell-type warnings are included in the output tables and must be respected in manuscript interpretation"" is sound. The manuscript text (lines 122–140 of `SCI_MANUSCRIPT_V2_POLISHED.md`) reflects this discipline."	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	"Mostly handled, but one instance to flag in `SCI_MANUSCRIPT_V2_POLISHED.md` line 174: *""the method reports… whether the fitted graph-flow structure is dominated by directional, local curl-like or global circulation-like components""*. The phrase ""global circulation-like components"" risks being read as referring to **physiological circulation** (blood flow) rather than **graph-theoretic harmonic circulation**. Rewrite to ""global graph-circulation-like components (in the graph-theoretic sense, not vascular)"" or similar. The same applies to `README.md` line 105: *""local feedback loops create high curl energy""* — ""feedback loops"" suggests biological feedback regulation; clarify that this is a graph-curl object."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	claims	comment	The Discussion paragraph at lines 198–205 of the manuscript handles overclaim risk well. No further action needed there.	Run claim-safety audit and downgrade unsupported causal/mechanistic wording.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	general	major	## 5. What exact biological claims must be downgraded or removed?	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P1	general	major	Current text (location) | Required action	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	"Abstract line 21–24: ""SheafSignal identified context-specific computational rankings rather than a universal source cell type."" | Acceptable, but the abstract should explicitly say **none of the rankings is biologically validated**. Otherwise readers may infer the rankings are biologically meaningful."	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	claims	comment	"Line 105 in README: ""local feedback loops create high curl energy"" | Disambiguate: graph-curl, not biological feedback regulation."	Run claim-safety audit and downgrade unsupported causal/mechanistic wording.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	"Discussion line 178–187: pancreatic cancer paragraph | Currently honest. Recommend adding one sentence: ""We do not consider GSE154778 a biological case study; it is presented as a demonstration of why claim gating is necessary in CCC method development."" That sentence would make the discipline visible to readers and protect against over-citation in follow-up literature."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	## 6. What validation or sensitivity analyses would most improve a 20–50 IF submission?	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	1. **One positive biological demonstration.** A single dataset where SheafSignal generates a **specific, falsifiable prediction** that is then orthogonally supported (protein, IHC, perturbation, patient outcome). The manuscript currently has zero. Without one, the method's biological utility is asserted, not shown.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	2. **Annotation-resolution sensitivity.** Re-run GSE154778 at coarse (7), medium (12–15, sub-typed), and fine (≥ 25) resolutions. Show whether the frustration ranking is stable across resolution. If not, this defines the resolution at which the method is interpretable.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	3. **Independent annotation cross-check on GSE154778.** Compare `scanpy_full_v1` annotations to the original Lin et al. annotations and to Azimuth/CellTypist references. Quantify agreement (ARI, NMI) per cell type. The current bundle does not show this.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	4. **Cell-count- and LR-coverage-balanced re-ranking.** Subsample each cell type to a common N and re-rank frustration. Address F3 directly.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	7. **Sample-leverage diagnostic on the Myeloid signal.** Leave-one-sample-out frustration ranking on GSE154778 (16 samples). If Myeloid is driven by ≤ 3 samples, that needs to be in the manuscript. (See Reviewer 3 §F3 for the parallel statistical concern.)	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	8. **Visium deconvolution.** If Visium stays in the manuscript, run cell2location or RCTD and re-define hotspots in deconvolved space. Otherwise drop.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	comparators	comment	"9. **Comparator under matched conditions for a biological task.** Existing comparator analysis is alignment-only (Spearman). Add a task: ""predict a held-out perturbation effect"" or ""predict a known LR pair from the literature"" and run SheafSignal vs LIANA vs CellChat under identical inputs. Without this, the comparator section is descriptive, not evaluative."	Map concern to comparator scope gate and aligned CellChat/CellPhoneDB/LIANA summaries.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	Bioinformatics** (OUP, ~5–6 IF) — accepts methods with honest limitations and good benchmarking.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	F1000Research** with refereeing — possible if open peer review is acceptable.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	Genome Biology** (~12 IF) — methods + biology, will demand at least one positive demonstration.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	Cell Reports Methods** (~5 IF, Cell Press) — fits a method paper with cancer-context replication.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	Briefings in Bioinformatics** (~10 IF) — survey/methods overlap.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	Nature Methods (32.1 IF)** — *not appropriate at current state*. The biology section provides no positive demonstration, the method's central object is mathematically thin (see Reviewer 1 §F1), and the cross-dataset behaviour does not converge on any biological pattern. A biology referee will return it without sending out for review.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	Nature Cancer (28.5 IF)** — *not appropriate*. The PDAC case is explicitly bounded as non-biological. There is no cancer-mechanistic finding to anchor the submission.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	claims	comment	Nature Biotechnology (41.7 IF)** — *not appropriate*. No translational utility, no clinical claim, no validated biomarker.	Run claim-safety audit and downgrade unsupported causal/mechanistic wording.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	Molecular Cancer (33.9 IF)** — possible only if the manuscript is rewritten as a PDAC biology paper with SheafSignal as the analysis tool — and only after the F1 biological demonstration is added.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	Editor's-eye verdict:** Present-state biology fits **PLOS Comp Bio or Bioinformatics**. The 20–50 IF route requires at least one positive biological demonstration (§6 #1) plus annotation hardening. Without those, the manuscript is a careful methods workflow paper, not a high-impact biological methods paper.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	single_cell	comment	The manuscript's claim discipline is genuinely admirable — the project openly downgrades its own headline cell type (Myeloid), keeps Visium narrowly scoped, and refuses to convert computational ranking into biological mechanism. This kind of discipline is uncommon and improves the literature. But the same discipline, applied to **all five datasets**, leaves the manuscript without a single demonstrated biological win. A methods reviewer at a 20–50 IF journal does not penalize honesty, but they do penalize the absence of a positive case. Add the positive case (one validated biological example), and most of the present biology critique resolves.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	journal_fit	comment	# Reviewer 3 — Statistics, Reproducibility, and Journal Fit	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P3	reproducibility	comment	external_references_consulted:** None beyond the supplied bundle. The public GitHub URL `https://github.com/healthgreat/SheafSignal` and the Zenodo DOI `10.5281/zenodo.20012189` listed in the routing document **were not fetched or independently verified**. Reproducibility findings are based only on the bundled audit reports and on cross-referencing those reports against each other.	Check release blockers, GitHub/Zenodo identifiers, and public clean-clone evidence.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P0	journal_fit	fatal	Review mode:** Aggressive — Nature Methods first-round desk-reject / referee-stage rejection threshold.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P0	statistics	fatal	Reject for any 20–50 IF submission until the public-release reproducibility chain is independently verifiable, the FDR family is pre-registered, and the simulation/comparator evaluation is done under matched conditions. Major revision required.	Map concern to permutation/FDR/bootstrap/sensitivity outputs and rerun if needed.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P0	code_quality	fatal	The package contains a remarkable amount of release infrastructure — preflight scripts, claim-safety audits, manifest builders, journal-metric audits, post-unblock pipelines. But the actual *reproducibility of the science* cannot be evaluated from this bundle alone. The bundle's own evidence index lists 11 files I cannot inspect (including `CLEAN_CLONE_PREFLIGHT_REPORT.md`, `RELEASE_METADATA_PLACEHOLDER_REPORT.md`, and `GIT_RELEASE_READINESS_REPORT.md`); the dashboard from 2026-05-03 lists 7 active blockers and the IF20-50 distance report from 2026-05-04 lists 0 blockers; and the confirmatory permutation results are reported at p-values that hit the resolution floor. None of these alone is fatal; collectively they make the reproducibility claim — which is the manuscript's *primary asset* — impossible to verify externally.	Map concern to source files, tests, packaging, CLI behavior, and add regression coverage.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P0	general	fatal	## 2. Top 5 fatal or near-fatal statistics / reproducibility concerns	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P3	statistics	comment	"### F1. The ""10,000-permutation confirmatory subset"" reports p-values at the resolution floor; further precision is unobtainable from the design. **[direct + inferred]"	Map concern to permutation/FDR/bootstrap/sensitivity outputs and rerun if needed.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P3	single_cell	comment	node_frustration:Myeloid p = 9.999e-05	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P3	single_cell	comment	edge_sheaf_energy:Myeloid->Tumor/Epithelial p = 9.999e-05	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P3	single_cell	comment	edge_curl:Myeloid->CAF/Fibroblast p = 9.999e-05	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P3	code_quality	comment	This number is `1 / (n + 1)` for `n = 10000`, which is the **minimum possible empirical p-value** when zero null permutations are more extreme than the observed test statistic. It does not mean p ≈ 1e-4; it means **p ≤ 1e-4 and the design cannot resolve further**. Reporting the same floor value for four separate tests, combined with `family FDR` values that simply scale that floor by m/k, is statistical theatre: the FDR numbers (1.998e-4 to 5.999e-4) are mechanical consequences of the floor, not measured quantities.	Map concern to source files, tests, packaging, CLI behavior, and add regression coverage.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
P3	methods	comment	"The four tests are reported as a ""family"" but they overlap substantially: a node-frustration permutation null and an edge-sheaf-energy permutation null sharing the same input data are not independent, so BH-FDR over them is too liberal."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer3_statistics_reproducibility.md	NA
